央视频道,#genre#
CCTV4K,http://114.241.218.114:4022/rtp/239.3.1.244:2000
CCTV16 4K,http://117.86.51.74:8888/rtp/239.49.0.109:8000
北京卫视4K,http://114.241.218.114:4022/rtp:/239.3.1.22:8001
北京卫视4KHDR,http://114.241.218.114:4022/rtp:/239.3.1.118:8001
广东卫视4K,http://183.220.107.138:4022/rtp/239.10.0.94:5140
深圳卫视4K,http://183.220.107.138:4022/rtp/239.10.0.93:5140
爱上4K,http://61.176.24.78:40001/rtp/232.0.0.187:1234
绚影4K,http://171.213.148.77:8188/udp/239.93.42.33:5140
中录动漫4K,http://171.213.148.77:8188/udp/239.93.1.188:5140
亲子趣学4K,http://171.213.148.77:8188/udp/239.93.1.191:5140

🕘️更新时间,#genre#
2025-09-20 18:25:10,http://114.241.218.114:4022/rtp/239.3.1.129:8008
